year,passengerrank,airportcode,airportname,cityname,statename,avgfare,inflationadj,passengersample
2018,45,HOU,William P Hobby,Houston-Hobby,TX,329.40,337.44,234578
2008,44,PIT,Pittsburgh International,Pittsburgh,PA,313.44,365.57,235675
2009,44,PIT,Pittsburgh International,Pittsburgh,PA,279.90,327.62,235675
2010,44,PIT,Pittsburgh International,Pittsburgh,PA,306.58,353.05,235675
2011,44,PIT,Pittsburgh International,Pittsburgh,PA,335.63,374.68,235675
2012,44,PIT,Pittsburgh International,Pittsburgh,PA,365.66,399.93,235675
2013,44,PIT,Pittsburgh International,Pittsburgh,PA,389.16,419.48,235675
2014,44,PIT,Pittsburgh International,Pittsburgh,PA,404.69,429.26,235675
2015,44,PIT,Pittsburgh International,Pittsburgh,PA,390.23,413.43,235675
2016,44,PIT,Pittsburgh International,Pittsburgh,PA,374.90,392.23,235675
2017,44,PIT,Pittsburgh International,Pittsburgh,PA,357.36,366.08,235675
2018,44,PIT,Pittsburgh International,Pittsburgh,PA,357.36,366.08,235675
2008,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,304.54,355.18,244266
2009,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,283.83,332.21,244266
2010,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,308.34,355.07,244266
2011,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,335.38,374.39,244266
2012,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,360.48,394.26,244266
2013,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,359.08,387.06,244266
2014,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,362.49,384.50,244266
2015,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,336.79,356.81,244266
2016,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,316.73,331.38,244266
2017,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,300.70,308.05,244266
2018,43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,300.70,308.05,244266
2008,42,CLE,Cleveland-Hopkins International,Cleveland,OH,371.32,433.07,245227
2009,42,CLE,Cleveland-Hopkins International,Cleveland,OH,336.67,394.06,245227
2010,42,CLE,Cleveland-Hopkins International,Cleveland,OH,380.98,438.73,245227
2011,42,CLE,Cleveland-Hopkins International,Cleveland,OH,422.55,471.71,245227
2012,42,CLE,Cleveland-Hopkins International,Cleveland,OH,451.91,494.25,245227
2013,42,CLE,Cleveland-Hopkins International,Cleveland,OH,453.09,488.40,245227
2014,42,CLE,Cleveland-Hopkins International,Cleveland,OH,444.70,471.70,245227
2015,42,CLE,Cleveland-Hopkins International,Cleveland,OH,360.96,382.41,245227
2016,42,CLE,Cleveland-Hopkins International,Cleveland,OH,336.79,352.36,245227
2017,42,CLE,Cleveland-Hopkins International,Cleveland,OH,317.22,324.97,245227
2018,42,CLE,Cleveland-Hopkins International,Cleveland,OH,317.22,324.97,245227
2008,41,IND,Indianapolis International,Indianapolis,IN,314.05,366.28,247029
2009,41,IND,Indianapolis International,Indianapolis,IN,283.25,331.53,247029
2010,41,IND,Indianapolis International,Indianapolis,IN,309.38,356.27,247029
2011,41,IND,Indianapolis International,Indianapolis,IN,357.02,398.55,247029
2012,41,IND,Indianapolis International,Indianapolis,IN,382.54,418.39,247029
2013,41,IND,Indianapolis International,Indianapolis,IN,396.13,426.99,247029
2014,41,IND,Indianapolis International,Indianapolis,IN,412.90,437.96,247029
2015,41,IND,Indianapolis International,Indianapolis,IN,381.10,403.76,247029
2016,41,IND,Indianapolis International,Indianapolis,IN,350.89,367.12,247029
2017,41,IND,Indianapolis International,Indianapolis,IN,350.69,359.25,247029
2018,41,IND,Indianapolis International,Indianapolis,IN,350.69,359.25,247029
2008,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,336.08,391.97,252550
2009,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,284.96,333.53,252550
2010,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,323.05,372.01,252550
2011,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,357.61,399.21,252550
2012,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,363.38,397.43,252550
2013,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,374.70,403.90,252550
2014,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,383.24,406.51,252550
2015,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,375.79,398.13,252550
2016,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,357.65,374.19,252550
2017,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,353.84,362.48,252550
2018,40,SNA,John Wayne Airport-Orange County,Santa Ana,CA,353.84,362.48,252550
2008,39,IAD,Washington Dulles International,Washington-Dulles,DC,432.10,503.95,262006
2009,39,IAD,Washington Dulles International,Washington-Dulles,DC,394.94,462.27,262006
2010,39,IAD,Washington Dulles International,Washington-Dulles,DC,419.38,482.94,262006
2011,39,IAD,Washington Dulles International,Washington-Dulles,DC,470.41,525.14,262006
2012,39,IAD,Washington Dulles International,Washington-Dulles,DC,496.18,542.68,262006
2013,39,IAD,Washington Dulles International,Washington-Dulles,DC,495.88,534.51,262006
2014,39,IAD,Washington Dulles International,Washington-Dulles,DC,488.13,517.76,262006
2015,39,IAD,Washington Dulles International,Washington-Dulles,DC,455.13,482.18,262006
2016,39,IAD,Washington Dulles International,Washington-Dulles,DC,443.43,463.94,262006
2017,39,IAD,Washington Dulles International,Washington-Dulles,DC,424.80,435.18,262006
2018,39,IAD,Washington Dulles International,Washington-Dulles,DC,424.80,435.18,262006
2008,38,HNL,Daniel K Inouye International,Honolulu,HI,314.95,367.32,273695
2009,38,HNL,Daniel K Inouye International,Honolulu,HI,280.47,328.27,273695
2010,38,HNL,Daniel K Inouye International,Honolulu,HI,321.40,370.12,273695
2011,38,HNL,Daniel K Inouye International,Honolulu,HI,355.56,396.92,273695
2012,38,HNL,Daniel K Inouye International,Honolulu,HI,347.29,379.83,273695
2013,38,HNL,Daniel K Inouye International,Honolulu,HI,348.28,375.42,273695
2014,38,HNL,Daniel K Inouye International,Honolulu,HI,373.78,396.47,273695
2015,38,HNL,Daniel K Inouye International,Honolulu,HI,385.32,408.23,273695
2016,38,HNL,Daniel K Inouye International,Honolulu,HI,388.26,406.21,273695
2017,38,HNL,Daniel K Inouye International,Honolulu,HI,368.70,377.70,273695
2018,38,HNL,Daniel K Inouye International,Honolulu,HI,368.70,377.70,273695
2008,37,DAL,Dallas Love Field,Dallas-Love Field,TX,226.79,264.51,290677
2009,37,DAL,Dallas Love Field,Dallas-Love Field,TX,229.20,268.27,290677
2010,37,DAL,Dallas Love Field,Dallas-Love Field,TX,254.55,293.13,290677
2011,37,DAL,Dallas Love Field,Dallas-Love Field,TX,278.06,310.41,290677
2012,37,DAL,Dallas Love Field,Dallas-Love Field,TX,282.95,309.46,290677
2013,37,DAL,Dallas Love Field,Dallas-Love Field,TX,291.83,314.56,290677
2014,37,DAL,Dallas Love Field,Dallas-Love Field,TX,297.80,315.88,290677
2015,37,DAL,Dallas Love Field,Dallas-Love Field,TX,281.10,297.82,290677
2016,37,DAL,Dallas Love Field,Dallas-Love Field,TX,277.65,290.49,290677
2017,37,DAL,Dallas Love Field,Dallas-Love Field,TX,289.20,296.26,290677
2018,37,DAL,Dallas Love Field,Dallas-Love Field,TX,289.20,296.26,290677
2008,36,MCI,Kansas City International,Kansas City,MO,309.11,360.51,290737
2009,36,MCI,Kansas City International,Kansas City,MO,277.65,324.97,290737
2010,36,MCI,Kansas City International,Kansas City,MO,305.98,352.36,290737
2011,36,MCI,Kansas City International,Kansas City,MO,329.63,367.97,290737
2012,36,MCI,Kansas City International,Kansas City,MO,349.95,382.75,290737
2013,36,MCI,Kansas City International,Kansas City,MO,366.67,395.24,290737
2014,36,MCI,Kansas City International,Kansas City,MO,379.48,402.51,290737
2015,36,MCI,Kansas City International,Kansas City,MO,370.99,393.04,290737
2016,36,MCI,Kansas City International,Kansas City,MO,354.34,370.72,290737
2017,36,MCI,Kansas City International,Kansas City,MO,349.52,358.06,290737
2018,36,MCI,Kansas City International,Kansas City,MO,349.52,358.06,290737
2008,35,BNA,Nashville International,Nashville,TN,313.70,365.87,291612
2009,35,BNA,Nashville International,Nashville,TN,293.98,344.09,291612
2010,35,BNA,Nashville International,Nashville,TN,329.25,379.15,291612
2011,35,BNA,Nashville International,Nashville,TN,356.28,397.73,291612
2012,35,BNA,Nashville International,Nashville,TN,368.31,402.82,291612
2013,35,BNA,Nashville International,Nashville,TN,371.43,400.37,291612
2014,35,BNA,Nashville International,Nashville,TN,385.22,408.60,291612
2015,35,BNA,Nashville International,Nashville,TN,385.09,407.98,291612
2016,35,BNA,Nashville International,Nashville,TN,356.95,373.46,291612
2017,35,BNA,Nashville International,Nashville,TN,357.81,366.55,291612
2018,35,BNA,Nashville International,Nashville,TN,357.81,366.55,291612
2008,34,SMF,Sacramento International,Sacramento,CA,302.46,352.76,297876
2009,34,SMF,Sacramento International,Sacramento,CA,286.31,335.11,297876
2010,34,SMF,Sacramento International,Sacramento,CA,311.26,358.44,297876
2011,34,SMF,Sacramento International,Sacramento,CA,342.35,382.18,297876
2012,34,SMF,Sacramento International,Sacramento,CA,348.61,381.28,297876
2013,34,SMF,Sacramento International,Sacramento,CA,371.95,400.92,297876
2014,34,SMF,Sacramento International,Sacramento,CA,378.46,401.43,297876
2015,34,SMF,Sacramento International,Sacramento,CA,372.24,394.37,297876
2016,34,SMF,Sacramento International,Sacramento,CA,362.01,378.76,297876
2017,34,SMF,Sacramento International,Sacramento,CA,352.21,360.81,297876
2018,34,SMF,Sacramento International,Sacramento,CA,352.21,360.81,297876
2008,33,STL,St Louis Lambert International,St. Louis,MO,323.67,377.50,299224
2009,33,STL,St Louis Lambert International,St. Louis,MO,291.64,341.36,299224
2010,33,STL,St Louis Lambert International,St. Louis,MO,315.50,363.32,299224
2011,33,STL,St Louis Lambert International,St. Louis,MO,337.87,377.17,299224
2012,33,STL,St Louis Lambert International,St. Louis,MO,355.45,388.75,299224
2013,33,STL,St Louis Lambert International,St. Louis,MO,361.03,389.15,299224
2014,33,STL,St Louis Lambert International,St. Louis,MO,383.96,407.26,299224
2015,33,STL,St Louis Lambert International,St. Louis,MO,375.14,397.44,299224
2016,33,STL,St Louis Lambert International,St. Louis,MO,362.69,379.46,299224
2017,33,STL,St Louis Lambert International,St. Louis,MO,365.23,374.15,299224
2018,33,STL,St Louis Lambert International,St. Louis,MO,365.23,374.15,299224
